AÑO,DEPARTAMENTO,DEPARTAMENTO,SEXO,Total personas,"IC+- b/
Total personas","Cve c/
Total personas",TOTAL Hogares,Hogares IC+- b/,Hogares Cve c/,,TOTAL Equipos de cómputo,Equipos de cómputo IC+-,Equipos de cómputo Cve,Equipos de cómputoProporción,,TOTAL Hogares con internet,Hogares con internetIC+-,Hogares con internet Cve,Hogares con internet Proporción,,Total Uso computador portátil en cualquier lugar,"Total IC+-
Usó computador portátil en cualquier lugar","Cve
Usó computador portátil en cualquier lugar","Proporción 
Usó computador portátil en cualquier lugar",,Total Uso computador en cualquier lugar,"Total IC+-
Usó computador en cualquier lugar","Cve
Usó computador en cualquier lugar","Proporción 
Usó computador en cualquier lugar",,Total Usó Internet en cualquier lugar y desde cualquier dispositivo,"IC+- 
Usó Internet en cualquier lugar y desde cualquier dispositivo","CVe
Usó Internet en cualquier lugar y desde cualquier dispositivo","Proporción
Usó Internet en cualquier lugar y desde cualquier dispositivo",,"Total 
Usó teléfono celular en cualquier lugar","IC+- 
Usó teléfono celular en cualquier lugar","CVe
Usó teléfono celular en cualquier lugar","Proporción
Usó teléfono celular en cualquier lugar",,,"TOTAL
Tiene teléfono celular","IC+-
Tiene teléfono celular","Cve
Tiene teléfono celular","Proporción
Tiene teléfono celular",,,"TOTAL
Tiene teléfono celular inteligente (smartphone)","IC+-
Tiene teléfono celular inteligente (smartphone)","Cve
Tiene teléfono celular inteligente (smartphone)","Proporción
Tiene teléfono celular inteligente (smartphone)",,TOTAL Pnas usan computador o internet,Pnas usan computador o internet IC+- b/,Pnas usan computador o internet Cve c/,proporción usan computador,,Usan procesadores texto TOTAL,Usan procesadores texto IC+-,Usan procesadores texto Cve,Usan procesadores texto Proporción,,Usan mails y adjuntos TOTAL,Usan mails y adjuntos IC+-,Usan mails y adjuntos Cve,Usan mails y adjuntos Proporción,,Instala dispositivos TOTAL,Instala dispositivos IC+-,Instala dispositivos Cve,Instala dispositivos Proporción,,Usa formulación hojas cálculo TOTAL,Usa formulación hojas cálculo IC+-,Usa formulación hojas cálculo Cve,Usa formulación hojas cálculo Proporción,,Crea PPTs TOTAL,Crea PPTs IC+-,Crea PPTs Cve,Crea PPTs Proporción,,Usa lenguaje programación TOTAL,Usa lenguaje programación IC+-,Usa lenguaje programación Cve,Usa lenguaje programación Proporción
,,,MUJER,471,5,"0,5%",,,,,,,,,,,,,,,84,13,"7,70%","17,8",,136,14,"5,30%","28,8",,370,12,"1,60%","78,461",,436,7,"0,80%","92,4",,,357,7,"1,00%","75,7",,,327,9,"1,30%","69,3",,136,14,"5,3%","28,8",,137,11,"4,20%",37,,146,12,"4,10%","39,5",,83,10,"6,30%","22,4",,75,10,"6,80%","20,3",,88,10,"5,70%","23,6",,8,3,"19,20%","2,1"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,826,7,"0,4%",289,10,"1,8%",,14,4,"13,4%","5,0",,99,9,"4,7%","34,4",,55,10,"8,80%","6,7",,126,13,"5,30%","15,2",,472,21,"2,20%","57,1",,693,14,"1,00%","83,9",,,478,15,"1,60%","57,9",,,374,17,"2,30%","45,3",,126,13,"5,3%","15,2",,144,15,"5,20%","30,2",,144,15,"5,50%","30,2",,59,10,"8,20%","12,3",,57,9,"8,00%",12,,80,10,"6,30%","16,9",,8,4,"23,30%","1,7"
,,,HOMBRE,424,5,"0,7%",,,,,,,,,,,,,,,28,6,"10,80%","6,5",,63,7,"5,90%","14,9",,236,12,"2,60%","55,5",,347,9,"1,40%","81,9",,,241,9,"2,00%","56,9",,,184,10,"2,90%","43,3",,63,7,"5,9%","14,9",,66,8,"5,80%","27,7",,66,8,"6,20%","27,9",,30,6,"9,80%","12,6",,30,6,"9,80%","12,7",,39,6,"8,20%","16,3",,5,3,"29,50%","1,9"
,,,MUJER,402,5,"0,6%",,,,,,,,,,,,,,,28,6,"10,80%","6,9",,62,9,"7,00%","15,5",,236,12,"2,50%","58,8",,346,7,"1,00%","86,1",,,237,10,"2,20%",59,,,190,10,"2,80%","47,4",,62,9,"7,0%","15,5",,78,10,"6,60%","32,7",,78,10,"6,40%","32,5",,29,6,"9,80%","12,1",,27,5,"9,80%","11,4",,42,6,"7,40%","17,4",,3,2,"34,80%","1,4"
,CUNDINAMARCA,TOTAL,TOTAL,3371,23,"0,4%",1299,26,"1,0%",,460,41,"4,5%","35,4",,884,38,"2,2%","68,0",,715,76,"5,40%","21,2",,1285,85,"3,40%","38,1",,2816,49,"0,90%","83,5",,3168,32,"0,50%",94,,,2799,30,"0,50%",83,,,2567,41,"0,80%","76,1",,1285,85,"3,4%","38,1",,1399,82,"3,00%","49,5",,1579,75,"2,40%","55,9",,992,73,"3,80%","35,1",,816,70,"4,40%","28,9",,811,68,"4,30%","28,7",,216,32,"7,50%","7,6"
,,,HOMBRE,1663,17,"0,5%",,,,,,,,,,,,,,,346,41,"6,10%","20,8",,636,47,"3,80%","38,3",,1388,29,"1,10%","83,5",,1558,20,"0,70%","93,7",,,1366,18,"0,70%","82,1",,,1249,25,"1,00%","75,1",,636,47,"3,8%","38,3",,685,47,"3,50%","49,2",,769,46,"3,10%","55,2",,498,44,"4,50%","35,8",,401,41,"5,20%","28,8",,399,41,"5,30%","28,7",,127,21,"8,40%","9,1"
,,,MUJER,1708,16,"0,5%",,,,,,,,,,,,,,,369,42,"5,90%","21,6",,649,46,"3,60%",38,,1427,30,"1,10%","83,6",,1610,22,"0,70%","94,3",,,1433,19,"0,70%","83,9",,,1318,24,"0,90%","77,2",,649,46,"3,6%","38,0",,714,44,"3,20%","49,9",,810,38,"2,40%","56,6",,493,38,"3,90%","34,5",,415,38,"4,60%",29,,412,34,"4,20%","28,8",,89,17,"9,70%","6,2"
,,CABECERA,TOTAL CABECERA,2588,22,"0,4%",1000,26,"1,3%",,403,40,"5,1%","40,3",,729,37,"2,6%","72,9",,611,76,"6,40%","23,6",,1092,84,"3,90%","42,2",,2232,48,"1,10%","86,2",,2446,30,"0,60%","94,5",,,2178,29,"0,70%","84,1",,,2033,40,"1,00%","78,6",,1092,84,"3,9%","42,2",,1181,82,"3,50%","52,8",,1359,77,"2,90%","60,7",,862,73,"4,30%","38,5",,709,70,"5,00%","31,7",,707,68,"4,90%","31,6",,193,32,"8,50%","8,6"
,,,HOMBRE,1251,16,"0,7%",,,,,,,,,,,,,,,294,41,"7,10%","23,5",,536,47,"4,40%","42,9",,1085,27,"1,30%","86,7",,1180,19,"0,80%","94,3",,,1042,17,"0,80%","83,3",,,975,23,"1,20%","77,9",,536,47,"4,4%","42,9",,573,47,"4,20%","52,7",,654,46,"3,60%","60,1",,429,43,"5,20%","39,4",,348,41,"6,00%",32,,347,41,"6,00%","31,9",,113,21,"9,50%","10,4"
,,,MUJER,1337,15,"0,6%",,,,,,,,,,,,,,,317,42,"6,80%","23,7",,555,46,"4,20%","41,5",,1147,29,"1,30%","85,822",,1265,21,"0,80%","94,7",,,1135,19,"0,90%",85,,,1058,24,"1,10%","79,1",,555,46,"4,2%","41,5",,608,44,"3,70%","52,9",,705,38,"2,80%","61,3",,433,37,"4,40%","37,7",,361,38,"5,30%","31,4",,361,34,"4,70%","31,4",,80,17,"10,80%","6,9"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,783,8,"0,5%",299,6,"1,1%",,56,9,"8,1%","18,8",,155,11,"3,5%","51,7",,104,18,"8,60%","13,3",,194,19,"5,10%","24,7",,584,15,"1,30%","74,6",,722,11,"0,70%","92,2",,,621,9,"0,70%","79,3",,,534,12,"1,20%","68,2",,194,19,"5,1%","24,7",,218,18,"4,30%","37,1",,220,19,"4,50%","37,4",,130,17,"6,70%","22,1",,107,15,"7,20%","18,2",,104,16,"7,90%","17,8",,23,5,"11,70%",4
,,,HOMBRE,412,6,"0,7%",,,,,,,,,,,,,,,52,9,"9,10%","12,7",,100,11,"5,70%","24,2",,304,10,"1,80%","73,8",,377,7,"1,00%","91,7",,,324,6,"1,00%","78,6",,,274,9,"1,60%","66,5",,100,11,"5,7%","24,2",,112,12,"5,30%","36,8",,115,13,"5,70%","37,6",,69,11,"8,00%","22,7",,53,9,"8,90%","17,5",,52,10,"10,10%","17,2",,14,4,"14,10%","4,6"
,,,MUJER,372,5,"0,7%",,,,,,,,,,,,,,,52,9,"9,20%",14,,94,11,"5,80%","25,3",,280,8,"1,50%","75,4",,345,7,"1,00%","92,7",,,297,5,"0,80%",80,,,260,6,"1,20%",70,,94,11,"5,8%","25,3",,106,9,"4,20%","37,5",,105,9,"4,40%","37,2",,60,8,"6,80%","21,4",,54,7,"7,10%",19,,52,8,"7,60%","18,3",,9,3,"15,60%","3,3"
,GUAINÍA,TOTAL,TOTAL,45,0,"0,4%",15,0,"1,2%",,2,0,"8,5%","13,1",,7,1,"5,1%","46,6",,7,1,"6,60%","14,6",,12,1,"5,00%","25,8",,24,1,"2,60%","53,6",,28,1,"2,50%","62,6",,,18,1,"2,80%","39,2",,,17,1,"3,00%","36,5",,12,1,"5,0%","25,8",,13,1,"4,70%","50,1",,9,1,"5,20%","37,7",,6,1,"7,00%","23,7",,7,1,"6,40%","29,2",,8,1,"6,10%","33,6",,2,0,"10,60%","7,8"
,,,HOMBRE,24,0,"0,7%",,,,,,,,,,,,,,,4,1,"7,40%","16,4",,7,1,"5,60%",28,,13,1,"2,80%",56,,15,1,"2,60%","64,9",,,10,1,"3,00%","41,5",,,9,1,"3,20%",38,,7,1,"5,6%","28,0",,7,1,"5,10%","50,9",,5,1,"6,00%","37,6",,3,1,"7,90%",25,,4,1,"6,70%",30,,5,1,"6,60%","34,6",,1,0,"11,80%","7,7"
,,,MUJER,22,0,"0,6%",,,,,,,,,,,,,,,3,0,"8,10%","12,6",,5,1,"5,80%","23,3",,11,1,"3,00%","51,1",,13,1,"2,80%","60,1",,,8,1,"3,30%","36,8",,,8,1,"3,60%","34,8",,5,1,"5,8%","23,3",,6,1,"5,10%","49,2",,4,0,"5,60%","37,8",,3,0,"7,80%","22,3",,3,0,"7,70%","28,2",,4,1,"6,90%","32,3",,1,0,"12,60%",8
,,CABECERA,TOTAL CABECERA,22,0,"0,6%",7,0,"2,3%",,1,0,"9,1%","19,8",,5,0,"4,8%","71,4",,3,0,"8,70%","12,7",,6,1,"6,00%","26,6",,15,1,"2,50%","68,3",,18,1,"1,90%","79,9",,,13,1,"2,30%","60,4",,,12,1,"2,80%","55,8",,6,1,"6,0%","26,6",,8,1,"5,50%","55,1",,7,1,"5,80%","42,8",,4,1,"7,50%","24,4",,5,1,"8,80%","29,7",,5,1,"8,80%","30,9",,2,0,"12,50%","10,1"
,,,HOMBRE,11,0,"0,7%",,,,,,,,,,,,,,,1,0,"9,30%",12,,3,0,"6,70%","26,6",,8,0,"2,50%","69,5",,9,0,"1,80%","81,5",,,7,0,"2,30%","61,9",,,6,0,"2,90%","56,2",,3,0,"6,7%","26,6",,4,0,"5,90%",55,,3,0,"6,10%","42,3",,2,0,"8,30%","24,3",,2,0,"9,20%","27,9",,2,0,"9,80%","29,5",,1,0,"14,10%","9,8"
,,,MUJER,11,0,"0,8%",,,,,,,,,,,,,,,1,0,"9,70%","13,4",,3,0,"6,50%","26,6",,7,0,"3,10%","67,11",,9,0,"2,40%","78,4",,,7,0,"3,00%",59,,,6,0,"3,40%","55,4",,3,0,"6,5%","26,6",,4,0,"6,00%","55,3",,3,0,"6,30%","43,4",,2,0,"8,70%","24,5",,2,0,"9,60%","31,5",,2,0,"9,20%","32,3",,1,0,"13,70%","10,4"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,24,0,"0,7%",8,0,"2,0%",,1,0,"19,3%","6,6",,2,0,"14,5%","22,3",,4,1,"9,20%","16,3",,6,1,"8,00%",25,,9,1,"5,40%",40,,11,1,"5,80%","46,4",,,5,1,"8,40%","19,5",,,4,1,"8,40%","18,5",,6,1,"8,0%","25,0",,4,1,"8,50%","42,3",,3,1,"11,00%","29,6",,2,1,"13,50%","22,7",,3,0,"9,10%","28,4",,4,1,"8,10%","37,7",,0,0,"18,80%","4,3"
,,,HOMBRE,13,0,"1,1%",,,,,,,,,,,,,,,3,1,"10,00%","20,1",,4,1,"8,40%","29,3",,6,1,"5,50%","44,6",,6,1,"5,70%","50,9",,,3,0,"7,80%","24,1",,,3,0,"8,00%","22,5",,4,1,"8,4%","29,3",,3,0,"9,00%","45,6",,2,0,"12,30%","31,4",,2,0,"14,00%","25,9",,2,0,"9,80%","32,8",,2,0,"9,00%","41,3",,0,0,"21,10%","4,9"
,,,MUJER,11,0,"1,0%",,,,,,,,,,,,,,,1,0,"13,30%","11,8",,2,0,"10,50%","19,8",,4,0,"6,50%","34,5",,4,1,"6,80%","41,2",,,2,0,"12,10%","13,9",,,1,0,"12,10%","13,7",,2,0,"10,5%","19,8",,1,0,"9,60%","37,4",,1,0,"11,80%","26,8",,1,0,"16,10%","17,9",,1,0,"11,60%","21,7",,1,0,"9,50%","32,3",,0,0,"32,80%","3,3"
,GUAVIARE,TOTAL,TOTAL,84,1,"0,5%",30,1,"1,2%",,7,1,"6,1%","22,1",,13,1,"3,6%","45,0",,12,1,"5,80%","14,3",,21,2,"4,30%",25,,61,2,"1,90%","71,8",,71,2,"1,40%","84,1",,,57,1,"1,30%","67,6",,,53,1,"1,40%","63,3",,21,2,"4,3%","25,0",,25,2,"3,80%","40,2",,21,2,"4,10%","33,9",,17,2,"4,80%","27,9",,16,1,"4,70%","25,6",,16,1,"4,70%","26,4",,5,1,"8,30%","7,8"
,,,HOMBRE,44,1,"0,6%",,,,,,,,,,,,,,,6,1,"7,00%","12,8",,10,1,"5,30%","22,4",,30,1,"2,40%","68,6",,36,1,"1,70%",82,,,29,1,"1,70%","65,2",,,26,1,"1,90%","59,9",,10,1,"5,3%","22,4",,12,1,"4,60%",39,,10,1,"5,00%","32,9",,8,1,"6,00%","26,8",,7,1,"5,90%","23,8",,7,1,"6,20%","23,9",,2,0,"10,60%","7,3"
,,,MUJER,40,1,"0,8%",,,,,,,,,,,,,,,6,1,"6,30%","15,9",,11,1,"4,50%","27,9",,30,1,"1,80%","75,3",,35,1,"1,50%","86,4",,,28,1,"1,30%","70,3",,,27,1,"1,40%","67,1",,11,1,"4,5%","27,9",,13,1,"4,00%","41,5",,11,1,"4,30%","34,9",,9,1,"5,10%","29,1",,8,1,"5,00%","27,4",,9,1,"4,90%","28,9",,3,0,"8,90%","8,3"
,,CABECERA,TOTAL CABECERA,48,0,"0,4%",19,1,"1,8%",,6,1,"6,2%","29,5",,10,1,"4,0%","54,2",,9,1,"6,10%","19,5",,17,1,"4,40%","34,5",,38,1,"1,40%","78,8",,43,1,"0,80%","89,5",,,37,1,"0,90%","75,8",,,35,1,"1,20%","71,8",,17,1,"4,4%","34,5",,19,1,"3,80%","48,5",,17,1,"4,10%","42,8",,14,1,"5,00%","35,8",,13,1,"4,80%","33,4",,13,1,"4,70%","33,7",,4,1,"8,70%","11,4"
,,,HOMBRE,24,0,"0,6%",,,,,,,,,,,,,,,4,1,"7,20%","18,6",,8,1,"5,20%","32,4",,18,1,"1,90%","77,1",,21,0,"1,10%","88,1",,,18,0,"1,30%","73,9",,,16,1,"1,70%","69,3",,8,1,"5,2%","32,4",,9,1,"4,20%","47,7",,8,1,"4,90%","41,9",,6,1,"5,80%","34,9",,6,1,"5,90%","31,3",,6,1,"5,80%","30,9",,2,0,"10,90%","10,8"
,,,MUJER,25,0,"0,7%",,,,,,,,,,,,,,,5,1,"6,80%","20,3",,9,1,"4,60%","36,4",,20,1,"1,50%","80,518",,22,0,"0,90%","90,8",,,19,0,"1,10%","77,7",,,18,0,"1,40%","74,2",,9,1,"4,6%","36,4",,10,1,"4,20%","49,3",,9,1,"4,40%","43,6",,7,1,"5,30%","36,7",,7,1,"5,20%","35,4",,7,1,"5,00%","36,4",,2,0,"9,10%",12
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,36,1,"0,9%",11,0,"2,1%",,1,0,"20,3%","9,5",,3,1,"8,4%","29,3",,3,1,"14,90%","7,3",,4,1,"12,00%","12,3",,22,2,"4,70%","62,3",,27,2,"3,50%","76,7",,,20,1,"3,20%","56,5",,,19,1,"3,40%","51,9",,4,1,"12,0%","12,3",,6,1,"10,20%",26,,4,1,"11,90%","18,7",,3,1,"14,10%","14,3",,3,1,"14,70%","12,2",,3,1,"14,20%","13,7",,0,0,"31,00%","1,5"
,,,HOMBRE,20,0,"1,1%",,,,,,,,,,,,,,,1,0,"19,10%","6,1",,2,1,"15,20%","10,8",,12,1,"5,50%","58,8",,15,1,"3,80%","74,9",,,11,1,"3,70%","54,9",,,10,1,"4,10%","49,1",,2,1,"15,2%","10,8",,3,1,"13,20%","25,4",,2,1,"14,20%","19,2",,2,1,"18,40%","14,3",,2,1,"17,80%","12,3",,2,1,"19,20%","13,2",,0,0,"38,00%","1,9"
,,,MUJER,15,0,"1,6%",,,,,,,,,,,,,,,1,0,"15,70%","8,9",,2,1,"12,40%","14,3",,10,1,"4,60%",67,,12,1,"3,80%","79,2",,,9,1,"3,30%","58,5",,,9,1,"3,40%","55,6",,2,1,"12,4%","14,3",,3,1,"10,20%","26,6",,2,0,"13,20%","18,1",,1,0,"14,70%","14,4",,1,0,"16,30%","12,1",,1,0,"14,60%","14,3",,0,0,"40,30%",1
,HUILA,TOTAL,TOTAL,1060,7,"0,3%",382,6,"0,8%",,99,10,"5,4%","26,0",,259,11,"2,2%","67,7",,161,20,"6,40%","15,2",,268,25,"4,70%","25,3",,822,19,"1,20%","77,5",,972,11,"0,60%","91,7",,,803,11,"0,70%","75,8",,,716,15,"1,10%","67,5",,268,25,"4,7%","25,3",,379,22,"3,00%","45,9",,361,21,"3,00%","43,8",,244,19,"3,90%","29,5",,203,17,"4,30%","24,5",,222,17,"4,00%","26,8",,39,8,"10,70%","4,7"
,,,HOMBRE,528,5,"0,5%",,,,,,,,,,,,,,,74,11,"7,70%","14,1",,127,13,"5,30%","24,1",,396,12,"1,50%",75,,481,7,"0,80%",91,,,390,8,"1,00%","73,8",,,336,10,"1,40%","63,7",,127,13,"5,3%","24,1",,181,13,"3,70%","45,5",,170,13,"3,90%","42,8",,118,11,"4,90%","29,6",,93,11,"5,80%","23,5",,100,10,"5,30%","25,1",,23,5,"11,40%","5,8"
,,,MUJER,532,4,"0,4%",,,,,,,,,,,,,,,87,11,"6,30%","16,4",,141,13,"4,80%","26,5",,426,9,"1,10%","80,1",,491,6,"0,60%","92,3",,,414,6,"0,80%","77,7",,,380,8,"1,10%","71,4",,141,13,"4,8%","26,5",,199,12,"3,00%","46,4",,191,11,"3,00%","44,6",,126,10,"4,00%","29,4",,109,9,"4,20%","25,5",,122,9,"3,90%","28,5",,16,4,"13,30%","3,7"
,,CABECERA,TOTAL CABECERA,640,5,"0,4%",237,6,"1,2%",,87,10,"5,8%","36,8",,168,10,"3,0%","70,9",,135,20,"7,50%","21,1",,211,23,"5,70%","32,9",,521,16,"1,50%","81,5",,597,8,"0,70%","93,4",,,510,9,"0,90%","79,7",,,467,13,"1,40%",73,,211,23,"5,7%","32,9",,274,20,"3,80%","52,6",,266,19,"3,70%","50,9",,187,18,"4,80%","35,9",,159,17,"5,30%","30,5",,171,16,"4,90%","32,7",,30,7,"12,20%","5,8"
,,,HOMBRE,307,4,"0,6%",,,,,,,,,,,,,,,61,11,"9,10%","19,8",,97,13,"6,60%","31,6",,242,10,"2,20%","78,9",,284,6,"1,00%","92,6",,,238,6,"1,30%","77,5",,,212,8,"2,00%","68,9",,97,13,"6,6%","31,6",,129,11,"4,50%","53,2",,123,12,"4,80%","50,7",,90,11,"6,10%",37,,75,10,"7,00%","30,7",,79,10,"6,40%","32,5",,19,5,"13,00%","7,8"
,,,MUJER,333,4,"0,6%",,,,,,,,,,,,,,,74,10,"7,10%","22,4",,114,12,"5,60%","34,2",,279,8,"1,40%","83,924",,313,5,"0,80%","94,1",,,272,5,"0,90%","81,7",,,255,6,"1,30%","76,7",,114,12,"5,6%","34,2",,145,11,"3,80%",52,,143,10,"3,60%",51,,98,9,"4,70%",35,,85,8,"5,00%","30,4",,92,8,"4,50%","32,9",,11,4,"15,80%","4,1"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,420,4,"0,5%",145,4,"1,4%",,12,3,"13,7%","8,4",,91,6,"3,2%","62,6",,26,5,"9,50%","6,2",,58,8,"7,20%","13,8",,301,10,"1,80%","71,5",,375,7,"0,90%","89,1",,,293,6,"1,10%","69,7",,,249,8,"1,60%","59,3",,58,8,"7,2%","13,8",,105,10,"4,70%","34,5",,96,9,"4,80%","31,5",,56,8,"7,20%","18,5",,43,5,"6,50%","14,2",,51,7,"6,50%","16,7",,9,4,"22,40%","2,8"
,,,HOMBRE,221,3,"0,7%",,,,,,,,,,,,,,,14,3,"11,40%","6,2",,30,5,"7,90%","13,7",,153,6,"2,10%","69,5",,196,5,"1,20%","88,9",,,151,4,"1,40%","68,6",,,125,5,"2,00%","56,5",,30,5,"7,9%","13,7",,52,6,"6,40%","33,3",,47,6,"6,40%","30,5",,28,4,"8,00%",18,,19,3,"9,30%","12,2",,21,3,"8,50%","13,5",,4,2,"23,50%","2,6"
,,,MUJER,200,2,"0,6%",,,,,,,,,,,,,,,13,3,"12,10%","6,3",,28,5,"9,60%","13,8",,147,6,"2,00%","73,7",,179,3,"1,00%","89,5",,,142,4,"1,40%",71,,,125,5,"2,00%","62,4",,28,5,"9,6%","13,8",,53,5,"4,50%","35,8",,48,5,"5,20%","32,6",,28,5,"8,20%",19,,24,3,"7,30%","16,3",,30,5,"8,10%","20,1",,5,2,"24,80%","3,1"
,LA GUAJIRA,TOTAL,TOTAL,912,6,"0,4%",318,6,"1,0%",,31,5,"8,6%","9,8",,93,8,"4,2%","29,4",,106,15,"7,20%","11,6",,208,18,"4,30%","22,8",,480,23,"2,40%","52,6",,678,17,"1,30%","74,3",,,436,15,"1,70%","47,8",,,335,16,"2,50%","36,8",,208,18,"4,3%","22,8",,242,20,"4,20%",50,,289,19,"3,30%","59,7",,154,16,"5,10%","31,8",,122,15,"6,30%","25,1",,112,13,"5,90%","23,1",,39,8,"10,60%","8,1"
,,,HOMBRE,444,4,"0,5%",,,,,,,,,,,,,,,49,9,"9,40%",11,,98,10,"5,40%",22,,228,12,"2,80%","51,5",,325,9,"1,40%","73,2",,,207,9,"2,10%","46,6",,,153,10,"3,20%","34,5",,98,10,"5,4%","22,0",,113,12,"5,20%","48,8",,133,10,"3,90%","57,7",,74,9,"6,10%","32,1",,59,8,"7,30%","25,5",,51,8,"7,70%","21,9",,20,5,"13,20%","8,8"
,,,MUJER,468,5,"0,5%",,,,,,,,,,,,,,,57,8,"6,80%","12,1",,110,10,"4,50%","23,5",,251,13,"2,50%","53,7",,353,10,"1,40%","75,3",,,229,8,"1,80%","48,9",,,182,9,"2,50%","38,9",,110,10,"4,5%","23,5",,130,11,"4,20%","51,2",,156,11,"3,50%","61,4",,80,8,"5,30%","31,5",,63,8,"6,50%","24,6",,61,7,"5,80%","24,1",,19,4,"11,00%","7,5"
,,CABECERA,TOTAL CABECERA,464,5,"0,5%",160,6,"1,8%",,28,5,"9,2%","17,8",,68,6,"4,6%","42,5",,73,13,"9,10%","15,8",,141,13,"4,90%","30,3",,331,13,"2,00%","71,2",,405,8,"1,00%","87,2",,,294,9,"1,50%","63,3",,,247,12,"2,50%","53,1",,141,13,"4,9%","30,3",,166,16,"4,80%",50,,205,15,"3,70%","61,4",,116,13,"5,70%","34,9",,91,13,"7,30%","27,3",,86,11,"6,40%","25,7",,27,6,"11,80%","8,2"
,,,HOMBRE,223,3,"0,7%",,,,,,,,,,,,,,,34,8,"12,10%","15,2",,65,9,"6,70%","29,2",,157,8,"2,60%","70,3",,195,5,"1,40%","87,2",,,136,6,"2,20%","60,8",,,111,8,"3,60%","49,8",,65,9,"6,7%","29,2",,76,10,"6,50%","48,3",,95,8,"4,60%",60,,57,8,"6,80%","35,8",,45,7,"8,10%","28,5",,39,7,"8,60%","24,9",,15,4,"14,50%","9,2"
,,,MUJER,241,4,"0,8%",,,,,,,,,,,,,,,40,6,"8,10%","16,4",,76,7,"4,80%","31,3",,174,7,"2,10%","71,971",,210,5,"1,20%","87,2",,,158,4,"1,40%","65,6",,,136,6,"2,30%","56,2",,76,7,"4,8%","31,3",,90,8,"4,40%","51,6",,110,8,"3,80%","62,7",,60,7,"5,80%","34,1",,46,7,"7,60%","26,1",,46,6,"6,10%","26,5",,13,3,"12,10%","7,3"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,448,4,"0,5%",159,4,"1,3%",,3,1,"23,6%","1,8",,26,5,"9,9%","16,1",,32,8,"12,40%","7,2",,67,12,"8,80%",15,,149,19,"6,40%","33,4",,273,15,"2,80%","60,9",,,142,13,"4,70%","31,7",,,89,12,"7,00%","19,8",,67,12,"8,8%","15,0",,76,13,"8,60%",50,,85,13,"7,70%","55,8",,38,9,"12,30%",25,,31,8,"13,60%","20,2",,26,8,"14,80%","17,2",,12,5,"22,30%",8
,,,HOMBRE,220,3,"0,7%",,,,,,,,,,,,,,,15,4,"15,30%","6,8",,33,6,"9,30%","14,8",,71,10,"6,80%","32,4",,130,8,"3,00%","59,1",,,71,7,"4,90%","32,2",,,42,6,"7,60%","19,1",,33,6,"9,3%","14,8",,36,7,"9,20%","49,8",,38,6,"8,40%","52,8",,18,5,"14,70%",24,,14,5,"17,60%",19,,11,4,"18,00%","15,6",,6,3,"28,80%","7,8"
,,,MUJER,227,3,"0,7%",,,,,,,,,,,,,,,17,5,"13,40%","7,6",,35,7,"10,20%","15,2",,78,10,"6,80%","34,3",,142,9,"3,10%","62,7",,,71,7,"5,40%","31,3",,,46,7,"7,60%","20,4",,35,7,"10,2%","15,2",,40,8,"9,70%","50,3",,46,8,"8,30%","58,5",,20,5,"13,00%","25,8",,17,5,"13,80%","21,3",,15,5,"15,70%","18,7",,6,3,"22,60%","8,2"
,MAGDALENA,TOTAL,TOTAL,1358,9,"0,3%",432,9,"1,1%",,75,12,"8,0%","17,4",,248,13,"2,7%","57,5",,144,23,"8,30%","10,6",,295,28,"4,80%","21,7",,979,21,"1,10%","72,1",,1186,14,"0,60%","87,4",,,866,18,"1,10%","63,8",,,768,21,"1,40%","56,5",,295,28,"4,8%","21,7",,395,27,"3,50%","40,2",,441,28,"3,30%",45,,236,22,"4,80%","24,1",,196,21,"5,40%",20,,184,21,"5,90%","18,7",,38,10,"13,30%","3,9"
,,,HOMBRE,677,6,"0,5%",,,,,,,,,,,,,,,65,13,"10,00%","9,6",,142,16,"5,80%",21,,457,14,"1,50%","67,5",,580,10,"0,80%","85,6",,,413,11,"1,40%",61,,,353,13,"1,80%","52,2",,142,16,"5,8%","21,0",,185,16,"4,40%","40,3",,205,17,"4,10%","44,7",,113,13,"6,00%","24,7",,93,13,"7,20%","20,3",,83,12,"7,50%","18,2",,19,6,"17,50%",4
,,,MUJER,681,7,"0,5%",,,,,,,,,,,,,,,79,12,"8,00%","11,7",,153,15,"5,10%","22,5",,522,12,"1,20%","76,6",,607,10,"0,80%","89,1",,,452,11,"1,20%","66,5",,,414,12,"1,50%","60,9",,153,15,"5,1%","22,5",,210,15,"3,60%","40,1",,236,15,"3,20%","45,1",,123,12,"5,10%","23,5",,103,11,"5,40%","19,7",,101,11,"5,80%","19,2",,19,6,"14,80%","3,7"
